id,name,category,phase,fixed,default_on,evidence_score,evidence_label,evidence_caution,mechanism,interactions,access_pathway,source_links,discuss_with_care_team
"care-onc-doxycycline","Doxycycline (repurposed, Care Oncology Protocol)","repurposed-investigational","adjuvant-tmz","false","true","2","Same retrospective METRICS cohort signal as the rest of the four-drug cluster.","false","Proposed to inhibit mitochondrial biogenesis and matrix metalloproteinases relevant to cancer-cell invasion and stem-like cell populations.","care-onc-mebendazole:synergistic:1","","","Photosensitivity and GI side effects are the main things to flag; confirm no interaction with anti-seizure medication if applicable."
"care-onc-mebendazole","Mebendazole (repurposed anthelmintic - distinct from fenbendazole)","repurposed-investigational","adjuvant-tmz","false","true","2","Actual phase 1 human trial in newly diagnosed high-grade glioma (with temozolomide) showed it is tolerable, with reversible liver-enzyme elevation as the main side effect; two preclinical models showed a survival benefit.","false","A microtubule (tubulin) inhibitor with preclinical anti-glioma activity; human-approved and has actual phase 1 safety data in this exact clinical setting, unlike fenbendazole.","fenbendazole:note-only:0","","https://pmc.ncbi.nlm.nih.gov/articles/PMC7817892/","Requires a prescription (high-dose regimens are compounded) and liver-function monitoring alongside temozolomide."
"disulfiram-copper","Disulfiram + copper gluconate (repurposed, ALDH inhibitor)","repurposed-investigational","adjuvant-tmz","false","false","1","A randomised phase II/III trial in recurrent glioblastoma found NO survival benefit and significantly MORE grade 3+ toxicity versus chemotherapy alone.","true","Disulfiram/copper inhibits aldehyde dehydrogenase (ALDH), a pathway implicated in glioma stem-like cells - a plausible mechanism that did not translate into clinical benefit in the trial that tested it.","","","https://pmc.ncbi.nlm.nih.gov/articles/PMC10066460/","The best available randomised evidence for this specific combination was negative - worth discussing explicitly with the oncology team before pursuing it, not just checking it off as promising research."
"cq-hcq-autophagy","Chloroquine or hydroxychloroquine (autophagy inhibition, trial-supervised only)","repurposed-investigational","concurrent-chemort","false","false","1","Early-phase trials established a maximum tolerated dose (chloroquine 200mg/day, hydroxychloroquine 600mg/day) added to chemoradiation; autophagy inhibition was not consistently achieved and no clear survival benefit has been shown yet.","false","Chloroquine/hydroxychloroquine block late-stage autophagy, which preclinical models suggest sensitizes glioblastoma to radiotherapy by reducing tumor hypoxia - not yet confirmed to improve survival in humans.","sc-chemort:requires:0","","https://pubmed.ncbi.nlm.nih.gov/24991840/ ; https://www.annalsofoncology.org/article/S0923-7534(19)58647-1/fulltext","Ask whether a CQ/HCQ combination trial is open and enrolling - not something to source and dose independently given the narrow, trial-defined dosing window."
"iv-vitamin-c","High-dose IV vitamin C (pharmacologic ascorbate)","repurposed-investigational","concurrent-chemort","false","false","3","Phase 1 and phase 2 trials (University of Iowa) combining pharmacologic-dose IV ascorbate with concurrent chemoradiation reported a median overall survival advantage versus a historical control (~19.6 vs ~14.6 months) in an uncontrolled, single-arm design.","false","At pharmacologic IV doses - not achievable orally - ascorbate acts as a pro-oxidant, generating hydrogen peroxide selectively in tumor tissue, the opposite mechanism from oral antioxidant vitamin C use.","oral-vitamin-c:note-only:0","Requires an infusion center, G6PD-deficiency screening before starting (high-dose ascorbate can cause hemolysis in G6PD deficiency), and coordination with the radiation oncology schedule.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6858950/ ; https://medicineiowa.org/spring-2025/c-believe","Ask whether the treating center offers this or can refer to a center running the protocol; this is an investigational regimen, not an over-the-counter supplement, and needs G6PD screening first."
"okn-007-trial","OKN-007 trial enrollment inquiry (investigational nitrone radiosensitizer)","okn007-trial-access","concurrent-chemort","false","false","2","Completed phase 1b in recurrent glioma; a phase 2 trial combining OKN-007 with temozolomide (and, in some settings, radiotherapy) is active for newly diagnosed and recurrent glioblastoma - efficacy not yet established.","false","A nitrone compound that increases temozolomide sensitivity and has shown reduced proliferation/angiogenesis and increased apoptosis in glioblastoma models.","sc-chemort:requires:0","Trial-inquiry only - not an over-the-counter or off-label prescribable agent. Ask the Duke team or search for an open OKN-007 combination trial for newly diagnosed glioblastoma.","https://pmc.ncbi.nlm.nih.gov/articles/PMC7650506/ ; https://clinicaltrials.gov/study/NCT01672463","Worth explicitly asking Dr. Friedman's team whether an OKN-007 combination trial is open and whether it could be layered onto - or would conflict with - the Duke immunotherapy trial enrollment."
"steroid-sparing","Steroid-sparing strategy (lowest effective dexamethasone dose)","steroid-management","anytime","false","true","3","Well-documented association between cumulative corticosteroid dose and both worse survival and blunted immunotherapy response in glioblastoma.","false","Dexamethasone is lymphotoxic and broadly immunosuppressive; using the lowest dose that controls symptoms preserves the immune activity the Duke trial and CeGaT vaccine both depend on.","","","https://www.nature.com/articles/bjc2015317 ; https://link.springer.com/article/10.1007/s11060-019-03146-7","Steroid tapering must be managed by the treating neuro-oncology team based on symptoms and imaging - never self-adjusted, but worth raising explicitly ahead of immunotherapy enrollment."
"ivermectin","Ivermectin","weak-evidence","anytime","false","false","0","Preclinical/in-vitro signal only (PAK1 pathway, rat glioma models); no completed human glioblastoma trial.","true","Proposed multi-target anticancer activity via PAK1 kinase inhibition in preclinical models; mechanism is not established in human glioblastoma.","sc-chemort:timing-caution:-2","","https://pmc.ncbi.nlm.nih.gov/articles/PMC12264859/ ; https://cancerchoices.org/therapy/ivermectin/","No human glioblastoma efficacy data exists. If pursued anyway, this must go through the prescribing physician given real CYP3A4 drug-interaction and seizure-threshold considerations."
"fenbendazole","Fenbendazole (veterinary anthelmintic)","weak-evidence","anytime","false","false","0","No completed or published human clinical trial for any cancer, including glioblastoma - evidence is preclinical cell/mouse data plus a widely circulated single-patient anecdote (not glioblastoma).","true","A benzimidazole anthelmintic in the same drug class as mebendazole; researchers who tested this class in glioma models chose to advance mebendazole (human-approved, better pharmacology) into clinical trials rather than fenbendazole.","care-onc-mebendazole:note-only:0 | sc-adjuvant-tmz:timing-caution:-2","","https://cancerchoices.org/therapy/mebendazole-or-fenbendazole/evidence-regarding-mebendazole-or-fenbendazole-and-cancer/","Not approved or studied in humans for cancer. If pursued anyway, tell the oncology team so liver function can be monitored alongside temozolomide, and consider mebendazole instead, which has actual human trial data in this exact setting."
"ldn","Low-dose naltrexone (LDN)","weak-evidence","anytime","false","false","2","A placebo-controlled, double-blind randomised trial in high-grade glioma (n=110) tested LDN 4.5mg during chemoradiation; it assessed quality-of-life and fatigue endpoints, not a direct tumor-response/survival endpoint.","false","Proposed to block the opioid growth-factor receptor axis, with a compensatory increase in opioid growth factor thought to have an antiproliferative effect; also proposed immune-modulating effects.","","","https://pubmed.ncbi.nlm.nih.gov/35001215/","Has more human randomised-trial data than ivermectin or fenbendazole, but that trial measured quality of life/fatigue, not tumor control - be precise about what was and wasn't shown when discussing it with the care team."
"oral-vitamin-c","Oral vitamin C (standard antioxidant-dose)","general-caution-antioxidant","concurrent-chemort","false","false","1","General radiation-oncology guidance advises against antioxidant supplementation during radiotherapy; oral doses do not reach the pharmacologic, pro-oxidant range used in the IV ascorbate trials.","true","At achievable oral doses, vitamin C acts as an antioxidant, which may blunt radiotherapy's reactive-oxygen-species-dependent tumor-killing mechanism - a fundamentally different situation from pharmacologic IV dosing.","sc-chemort:conflicts:-6","","https://pmc.ncbi.nlm.nih.gov/articles/PMC12279893/ ; https://www.oncolink.org/cancer-treatment/radiation/support/supplement-use-during-radiation-therapy","If wanted for other reasons, time it away from the radiotherapy window and confirm with the radiation oncology team - or consider the pharmacologic IV-ascorbate protocol instead, which is a different thing entirely."
"curcumin","Curcumin","general-caution-antioxidant","anytime","false","false","0","A dedicated review found no clinical or biological rationale for curcumin as a glioblastoma radiosensitizer - achievable brain/tumor concentrations are too low to have an effect, despite promising animal-model data.","true","Proposed anti-inflammatory and radiosensitizing effects seen in preclinical models do not translate at clinically achievable, blood-brain-barrier-limited concentrations in humans.","sc-chemort:timing-caution:-3","","https://pmc.ncbi.nlm.nih.gov/articles/PMC7817587/","The specific radiosensitizer rationale for glioblastoma doesn't hold up in the literature - if used, treat it as a general wellness supplement, not a treatment-effectiveness lever, and time it away from the radiotherapy window."
"egcg-green-tea","EGCG / green tea extract","general-caution-antioxidant","anytime","false","false","1","General antioxidant/anti-inflammatory mechanistic interest; limited glioblastoma-specific human data.","true","A polyphenol antioxidant with anti-inflammatory and, in preclinical models, some anti-angiogenic activity - human GBM-specific evidence is limited.","sc-chemort:timing-caution:-3","","https://pmc.ncbi.nlm.nih.gov/articles/PMC12279893/","Time away from the radiotherapy window if used; high-dose green tea extract also has rare hepatotoxicity case reports worth mentioning to the care team."
"resveratrol","Resveratrol","general-caution-antioxidant","anytime","false","false","0","Preclinical antioxidant/anti-inflammatory interest only; no glioblastoma-specific human trial data and poor oral bioavailability.","true","An antioxidant polyphenol with preclinical anti-glioma signals in cell/animal models; human bioavailability and brain penetration are both limiting factors.","sc-chemort:timing-caution:-3","","","Weakest human evidence of this antioxidant group; time away from the radiotherapy window if used at all."
"ketogenic-metabolic-therapy","Ketogenic diet / calorie-restricted metabolic therapy","lifestyle","anytime","false","false","1","The randomised ERGO2 trial (ketogenic diet + intermittent fasting added to re-irradiation for recurrent glioma) did NOT meet its primary progression-free-survival endpoint, though it was feasible and safe.","true","Proposed to exploit glioblastoma's reliance on glycolysis by lowering serum glucose and raising ketone bodies; the one randomised trial to test this directly in glioma did not show a survival benefit.","","","https://www.sciencedirect.com/science/article/abs/pii/S0360301620313080","Weight loss and reduced calorie intake during active treatment carries its own risks - needs dietitian supervision, especially alongside dexamethasone (which raises blood glucose and works against ketosis)."
"structured-exercise","Structured aerobic + resistance exercise program","lifestyle","anytime","false","true","2","Growing evidence (feasibility/safety trials, small RCTs) that supervised exercise during chemoradiation improves quality of life, fatigue, and cardiorespiratory fitness in high-grade glioma; mechanistic rationale for immune benefit is well supported, direct survival-benefit trials are still pending.","false","Exercise activates NK and T-cell immune surveillance, reduces inflammation, and may improve blood-brain-barrier drug penetration - alongside well-established quality-of-life and fatigue benefits during treatment.","","","https://academic.oup.com/nop/article/10/3/261/7025443","Ask for a referral to a cancer-rehabilitation or physical-therapy program experienced with brain-tumor patients, especially given any post-surgical or steroid-related physical limitations."
"issels-clinic","Issels Medical Center - autologous dendritic-cell + NK-cell ""non-specific immunotherapy""","private-cellular-therapy","anytime","false","false","0","No published randomised or controlled trial data for glioblastoma; the broader Issels treatment approach has been named a ""Dubious Treatment"" by Quackwatch and evaluated as ineffective by the American Cancer Society; not approved by any US or UK medical society.","true","Markets a personalized, autologous (""non-specific"") immunotherapy program combining dendritic-cell and NK-cell infusions intended to broadly rebuild immune function against cancer; the general mechanism has not been validated in controlled trials.","","Santa Barbara, California (main program) + a Mexico facility near San Diego for the cell-therapy component. Roughly $49,800 for the 3-week program, self-pay.","https://en.wikipedia.org/wiki/Issels_treatment ; https://issels.com/treatment-summary/cancer-cell-therapies.html","This is the most heavily criticized item in this entire catalog by mainstream oncology sources - not just unproven but specifically flagged as ineffective/dubious by watchdog and major cancer-society evaluations. If still considering it, bring the exact protocol to Dr. Friedman's team and ask directly whether anything in it could interact with or delay chemoradiation, the Duke trial, or CeGaT."
"muse-stem-cell-clinics","MUSE / mesenchymal stem-cell therapy (private clinics, incl. clinics referred to as ""Hope Clinic"")","private-cellular-therapy","anytime","false","false","0","MUSE (multilineage-differentiating stress-enduring) cells are a real, actively-researched stem-cell type with human trials underway for stroke, ARDS, and neurologic injury, and a published preclinical approach using engineered MUSE cells as gene-therapy carriers for glioma - but no completed human glioblastoma outcome trial exists, and no specific glioblastoma protocol, cost, or evidence for a clinic named ""Hope Clinic"" could be independently verified from available sources.","true","MUSE cells are endogenous pluripotent-like stem cells with documented migratory activity toward damaged/tumor tissue; the research use in glioma so far is as an engineered delivery vehicle for a therapeutic gene (e.g. HSV-tk), not as a standalone anti-tumor treatment with demonstrated human efficacy.","","Get the exact clinic name, protocol, cell source/type, and any published outcome data directly in writing before evaluating this further - ""stem cell therapy"" and ""MUSE cell therapy"" are marketed by a wide range of clinics with very different products and evidence behind them.","https://pubmed.ncbi.nlm.nih.gov/28748212/ ; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10340735/","Ask specifically: is this autologous or donor-derived, what cell type exactly (MUSE vs. generic mesenchymal stem cells are not the same thing), and has it been tested in any glioblastoma patient with published outcomes. No generic ""stem cell clinic"" claim should be taken at face value without that documentation."
"alt-doc1021","DOC1021 (dubodencel) dendritic-cell vaccine - NCT06805305","alternative-trial-options","pre-treatment","false","false","2","Randomised phase 2, many US sites, built for exactly this newly-diagnosed/resected population - outcomes not yet mature.","false","Dendritic-cell vaccine, randomised phase 2, built for newly diagnosed, IDH-wildtype, near-complete-resection, treatment-naive patients.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT06805305 ; https://clinicaltrials.gov/study/NCT06805305","Rated a High fit on the companion trial finder, but needs a fresh tumor specimen from the resection - confirm tissue was banked, and act fast if interested."
"alt-avgbm1","AV-GBM-1 tumour-initiating-cell dendritic-cell vaccine - NCT05100641","alternative-trial-options","pre-treatment","false","false","2","Blinded, placebo-controlled phase 3 with encouraging phase 2 data; not yet recruiting.","false","Dendritic-cell vaccine targeting tumor-initiating cells; phase 3, placebo-controlled.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT05100641 ; https://clinicaltrials.gov/study/NCT05100641","Requires a viable tumor cell line grown from surgical tissue - confirm fresh tissue availability, and it is not yet open for enrollment."
"alt-gbmagile","GBM AGILE adaptive platform trial - NCT03970447","alternative-trial-options","pre-treatment","false","false","2","Broadest single access route, ~30+ US sites, randomises to a novel agent plus a proper control - but the specific arm assigned may not be an immunotherapy or EGFR-targeted agent.","false","Adaptive platform trial; one screening routes to whichever arm is currently open at a nearby site.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT03970447 ; https://clinicaltrials.gov/study/NCT03970447","Ask which arms are open at the nearest site before assuming this delivers anything comparable to the Duke trial."
"alt-pnoc020","RNA-lipid-particle (mRNA) vaccine - PNOC020 - NCT04573140","alternative-trial-options","pre-treatment","false","false","1","Good conceptual fit if MGMT is unmethylated (this case is methylated) and tumor mRNA can be made from banked tissue. Single site (UF Gainesville), age >=21.","false","Personalized mRNA vaccine manufactured from the patient's own tumor RNA.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT04573140 ; https://clinicaltrials.gov/study/NCT04573140","MGMT-methylated status weakens the original rationale cited for this trial; window closes at Day 0 if pursued instead of the current plan."
"alt-egfrbats","EGFR bispecific-armed T cells (EGFR BATs) + focused ultrasound - NCT07343986","alternative-trial-options","pre-treatment","false","false","1","Fit if MGMT is unmethylated (this case is methylated) and EGFR staining is at least 1+ (likely in RTK II). First-in-human, single site, small (n=12).","false","Autologous T cells armed with an EGFR bispecific antibody, combined with focused-ultrasound blood-brain-barrier opening.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT07343986 ; https://clinicaltrials.gov/study/NCT07343986","First-in-human - ask specifically about the safety data collected so far; MGMT-methylated status weakens the fit."
"alt-bvax","Bvax - autologous B-cell vaccination + chemoradiation - NCT07422896","alternative-trial-options","pre-treatment","false","false","1","Mechanistically novel, open to newly diagnosed disease with standard chemoradiation; single site, and requires >=1.5g fresh-frozen tumor tissue unlikely to be available retrospectively.","false","Autologous B-cell vaccination combined with standard chemoradiation.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT07422896 ; https://clinicaltrials.gov/study/NCT07422896","Requires fresh-frozen tissue specifically banked at surgery - confirm with the surgical/pathology team whether this exists."
"alt-wsd0922","WSD0922-FU +/- adjuvant temozolomide, randomised - NCT07708961","alternative-trial-options","post-adjuvant","false","false","2","Strong fit only if the tumor carries a pathogenic EGFR mutation or EGFRvIII - RTK II tumors are often EGFR-amplified without a point mutation, which this trial excludes.","false","Randomised EGFR-targeted small-molecule/antibody trial, enrolls with or after chemoradiation.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT07708961 ; https://clinicaltrials.gov/study/NCT07708961","Confirm the exact EGFR finding (amplification vs. point mutation vs. EGFRvIII) before assuming eligibility."
"alt-abbv637-eras801","ABBV-637/ABBV-155 + ERAS-801 (EGFR ADC + EGFR TKI) - NCT06934889","alternative-trial-options","post-adjuvant","false","false","1","One of the few newly-diagnosed trials enrolling on EGFR amplification alone (the classic RTK II lesion); early-phase, dose-finding/toxicity-focused, and the prior EGFR antibody-drug conjugate failed to improve survival in this population.","false","Combination EGFR antibody-drug conjugate + EGFR tyrosine-kinase inhibitor.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT06934889 ; https://clinicaltrials.gov/study/NCT06934889","Ask about EGFR amplification status specifically; this is early-phase and dose-finding, not yet an efficacy readout."
"alt-brite","BRiTE - EGFRvIIIxCD3 bispecific T-cell engager - NCT04903795","alternative-trial-options","post-adjuvant","false","false","1","Fit only if EGFRvIII-positive; single site, small early-phase study.","false","Bispecific T-cell engager targeting EGFRvIII, designed to address antigen-escape limits of prior EGFRvIII-directed therapies.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT04903795 ; https://clinicaltrials.gov/study/NCT04903795","Requires confirmed EGFRvIII positivity - ask whether this was specifically tested."
"alt-silevertinib-randomized","Silevertinib (BDTX-1535) + temozolomide, randomised - NCT07326566","alternative-trial-options","post-adjuvant","false","false","2","One of the strongest fits in the companion dashboard if EGFRvIII-positive and MGMT-unmethylated - randomised, ~28 US sites. This tumor is MGMT-methylated, which weakens the rationale.","false","Randomised EGFR-targeted small-molecule trial for MGMT-unmethylated, EGFRvIII-positive disease.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT07326566 ; https://clinicaltrials.gov/study/NCT07326566","MGMT came back methylated on this case, the opposite of the profile this trial targets - likely not a fit despite the strong general RTK II rating."
"alt-intraarterial-cetuximab","Super-selective intra-arterial cetuximab + BBB disruption - NCT02861898","alternative-trial-options","anytime","false","false","1","Relevant if EGFR-overexpressing/amplified; single site, open since 2016 with slow accrual. Systemic cetuximab has not worked in GBM - intra-arterial delivery past the blood-brain barrier is the specific hypothesis being tested.","false","Intra-arterial drug delivery with blood-brain-barrier disruption to bypass systemic cetuximab's poor brain penetration.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT02861898 ; https://clinicaltrials.gov/study/NCT02861898","Procedure-based, not a simple infusion - ask what the intra-arterial procedure itself involves."
"alt-sonocloud9","Checkpoint blockade + SonoCloud-9 ultrasound BBB opening - NCT05864534","alternative-trial-options","post-adjuvant","false","false","1","Reasonable fit if MGMT is unmethylated (this case is methylated) and a resection cavity/residual tumor exists for the ultrasound field to cover. Single site.","false","Implanted ultrasound device transiently opens the blood-brain barrier to increase checkpoint-inhibitor drug levels in the brain.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT05864534 ; https://clinicaltrials.gov/study/NCT05864534","Requires an implanted device and a covered resection cavity - ask whether a gross-total resection leaves enough target for the ultrasound field."
"alt-carv3team","CARv3-TEAM-E EGFRvIII CAR-T (INCIPIENT) - NCT05660369","alternative-trial-options","post-adjuvant","false","false","1","Possible fit only if EGFRvIII-positive and MGMT-unmethylated (this case is methylated). The newly-diagnosed arm opens only after the recurrent-disease arms clear safety, and primary completion is Sep 2026 - it may close soon.","false","CAR-T cell therapy targeting EGFRvIII, engineered to also secrete a bispecific T-cell engager.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT05660369 ; https://clinicaltrials.gov/study/NCT05660369","Single site, narrow window - worth calling promptly to check whether the newly-diagnosed arm is still open at all."
"alt-d2c7","D2C7 immunotoxin + anti-CD40 (2141-V11) - NCT05734560","alternative-trial-options","post-adjuvant","false","false","1","Fit if MGMT is unmethylated (this case is methylated) and residual tumor <=3cm remains that a catheter can reach - a truly complete resection may not qualify.","false","Convection-enhanced delivery of an EGFR-targeted immunotoxin plus a CD40 agonist antibody.","duke-immunotherapy-trial:note-only:0","","index.html#c-NCT05734560 ; https://clinicaltrials.gov/study/NCT05734560","Requires residual disease reachable by catheter - likely not applicable after a genuinely complete resection."
"alt-zsneo-dc11","ZSNeo-DC1.1 - neoantigen-pulsed dendritic-cell vaccine + TMZ - NCT07365280","alternative-trial-options","adjuvant-tmz","false","false","1","Best molecular match on paper (requires IDH-wildtype), randomised with a proper control, vaccinates in the adjuvant window. Not yet open; likely China-only sites.","false","Neoantigen-pulsed dendritic-cell vaccine given alongside adjuvant temozolomide.","duke-immunotherapy-trial:note-only:0","","neoantigen-peptide-atlas.html#c-NCT07365280 ; https://clinicaltrials.gov/study/NCT07365280","International enrollment and tissue logistics would be the hard part if this opens - ask whether any non-China sites are planned."
